,model,scenario,region,variable,item,unit,year,value,BAU_ref_year,percent_change_BAU_ref_year,diff_BAU_ref_year,percent_change_BAU,diff_BAU,percent_change_ELM,diff_ELM
0,GLOBIOM,BAU,WLD,ANNR_prod,TOT,Absolute number,2020.0,1515144408.0,2020.0,0.0,0.0,0.0,0.0,0.2001022903875033,3025784.0
1,GLOBIOM,BAU,WLD,ANNR_prod,TOT,Absolute number,2050.0,1841336291.0,2020.0,21.528765263409795,326191883.0,0.0,0.0,64.67330378907029,723160941.0
2,GLOBIOM,BAU_DIET,WLD,ANNR_prod,TOT,Absolute number,2020.0,1515144408.0,2020.0,0.0,0.0,0.0,0.0,0.2001022903875033,3025784.0
3,GLOBIOM,BAU_DIET,WLD,ANNR_prod,TOT,Absolute number,2050.0,1281021353.0,2020.0,-15.452194111915963,-234123055.0,-30.429799311439304,-560314938.0,14.563547926539428,162846003.0
4,GLOBIOM,BAU_MITI,WLD,ANNR_prod,TOT,Absolute number,2020.0,1512118624.0,2020.0,-0.1997026807493586,-3025784.0,-0.1997026807493586,-3025784.0,0.0,0.0
5,GLOBIOM,BAU_MITI,WLD,ANNR_prod,TOT,Absolute number,2050.0,1385399339.0,2020.0,-8.56321472164256,-129745069.0,-24.761199473909677,-455936952.0,23.89821855758133,267223989.0
6,GLOBIOM,BAU_PROD,WLD,ANNR_prod,TOT,Absolute number,2020.0,1515144408.0,2020.0,0.0,0.0,0.0,0.0,0.2001022903875033,3025784.0
7,GLOBIOM,BAU_PROD,WLD,ANNR_prod,TOT,Absolute number,2050.0,1858000163.0,2020.0,22.628585974360803,342855755.0,0.9049879743015394,16663872.0,66.16357738524641,739824813.0
8,GLOBIOM,BAU_WAST,WLD,ANNR_prod,TOT,Absolute number,2020.0,1515144408.0,2020.0,0.0,0.0,0.0,0.0,0.2001022903875033,3025784.0
9,GLOBIOM,BAU_WAST,WLD,ANNR_prod,TOT,Absolute number,2050.0,1764744900.0,2020.0,16.473709745559777,249600492.0,-4.159554741540691,-76591391.0,57.82362757326032,646569550.0
10,GLOBIOM,EL2,WLD,ANNR_prod,TOT,Absolute number,2020.0,1515144408.0,2020.0,0.0,0.0,0.0,0.0,0.2001022903875033,3025784.0
11,GLOBIOM,EL2,WLD,ANNR_prod,TOT,Absolute number,2050.0,1264282005.0,2020.0,-16.556996262233508,-250862403.0,-31.338886265398653,-577054286.0,13.06652440513914,146106655.0
12,GLOBIOM,ELM,WLD,ANNR_prod,TOT,Absolute number,2020.0,1512118624.0,2020.0,-0.1997026807493586,-3025784.0,-0.1997026807493586,-3025784.0,0.0,0.0
13,GLOBIOM,ELM,WLD,ANNR_prod,TOT,Absolute number,2050.0,1118175350.0,2020.0,-26.200080725242657,-396969058.0,-39.27370271984717,-723160941.0,0.0,0.0
14,GLOBIOM,BAU,WLD,AREA,AGR,1000 ha,2020.0,2720103.722,2020.0,0.0,0.0,0.0,0.0,0.1960898262208441,5323.408000000287
15,GLOBIOM,BAU,WLD,AREA,AGR,1000 ha,2050.0,3012573.538,2020.0,10.752156751763753,292469.8160000001,0.0,0.0,69.26657143181758,1232792.975
16,GLOBIOM,BAU_DIET,WLD,AREA,AGR,1000 ha,2020.0,2720103.722,2020.0,0.0,0.0,0.0,0.0,0.1960898262208441,5323.408000000287
17,GLOBIOM,BAU_DIET,WLD,AREA,AGR,1000 ha,2050.0,2366005.577,2020.0,-13.017817744819071,-354098.145,-21.462312964125893,-646567.9610000001,32.93805012747518,586225.014
18,GLOBIOM,BAU_MITI,WLD,AREA,AGR,1000 ha,2020.0,2714780.314,2020.0,-0.1957060665350719,-5323.408000000287,-0.1957060665350719,-5323.408000000287,0.0,0.0
19,GLOBIOM,BAU_MITI,WLD,AREA,AGR,1000 ha,2050.0,2233596.218,2020.0,-17.885623260067735,-486507.5040000002,-25.85753709159747,-778977.3200000003,25.498404940160015,453815.6549999998
20,GLOBIOM,BAU_PROD,WLD,AREA,AGR,1000 ha,2020.0,2720103.722,2020.0,0.0,0.0,0.0,0.0,0.1960898262208441,5323.408000000287
21,GLOBIOM,BAU_PROD,WLD,AREA,AGR,1000 ha,2050.0,2981623.955,2020.0,9.614347823755525,261520.233,-1.02734697127251,-30949.5830000001,67.52761643683598,1201843.392
22,GLOBIOM,BAU_WAST,WLD,AREA,AGR,1000 ha,2020.0,2720103.722,2020.0,0.0,0.0,0.0,0.0,0.1960898262208441,5323.408000000287
23,GLOBIOM,BAU_WAST,WLD,AREA,AGR,1000 ha,2050.0,2902534.222,2020.0,6.706747927460098,182430.5,-3.6526682124763488,-110039.31600000012,63.08382518277901,1122753.659
24,GLOBIOM,EL2,WLD,AREA,AGR,1000 ha,2020.0,2720103.722,2020.0,0.0,0.0,0.0,0.0,0.1960898262208441,5323.408000000287
25,GLOBIOM,EL2,WLD,AREA,AGR,1000 ha,2050.0,2245758.757,2020.0,-17.438488141593,-474344.96499999985,-25.453811212491633,-766814.781,26.181777893705434,465978.19400000013
26,GLOBIOM,ELM,WLD,AREA,AGR,1000 ha,2020.0,2714780.314,2020.0,-0.1957060665350719,-5323.408000000287,-0.1957060665350719,-5323.408000000287,0.0,0.0
27,GLOBIOM,ELM,WLD,AREA,AGR,1000 ha,2050.0,1779780.563,2020.0,-34.56938613754817,-940323.159,-40.92158944669055,-1232792.975,0.0,0.0
28,GLOBIOM,BAU,WLD,AREA,CRP,1000 ha,2020.0,946387.7174,2020.0,0.0,0.0,0.0,0.0,0.2984050128145984,2815.6662999999244
29,GLOBIOM,BAU,WLD,AREA,CRP,1000 ha,2050.0,1037621.352,2020.0,9.640196393360334,91233.6346,0.0,0.0,50.34912868335668,347480.1046999999
30,GLOBIOM,BAU_DIET,WLD,AREA,CRP,1000 ha,2020.0,946387.7174,2020.0,0.0,0.0,0.0,0.0,0.2984050128145984,2815.6662999999244
31,GLOBIOM,BAU_DIET,WLD,AREA,CRP,1000 ha,2050.0,850393.4651,2020.0,-10.143226770073037,-95994.25229999992,-18.043950863108293,-187227.88689999992,23.220205780620347,160252.21779999998
32,GLOBIOM,BAU_MITI,WLD,AREA,CRP,1000 ha,2020.0,943572.0511,2020.0,-0.2975172065562486,-2815.6662999999244,-0.2975172065562486,-2815.6662999999244,0.0,0.0
33,GLOBIOM,BAU_MITI,WLD,AREA,CRP,1000 ha,2050.0,888398.0756,2020.0,-6.127471937116244,-57989.64179999998,-14.381284281821523,-149223.27639999997,28.726993072161495,198256.8282999999
34,GLOBIOM,BAU_PROD,WLD,AREA,CRP,1000 ha,2020.0,946387.7174,2020.0,0.0,0.0,0.0,0.0,0.2984050128145984,2815.6662999999244
35,GLOBIOM,BAU_PROD,WLD,AREA,CRP,1000 ha,2050.0,997046.4623,2020.0,5.352853166688832,50658.74490000005,-3.910375362052105,-40574.88969999994,44.46991339826269,306905.21499999997
36,GLOBIOM,BAU_WAST,WLD,AREA,CRP,1000 ha,2020.0,946387.7174,2020.0,0.0,0.0,0.0,0.0,0.2984050128145984,2815.6662999999244
37,GLOBIOM,BAU_WAST,WLD,AREA,CRP,1000 ha,2050.0,958857.2914,2020.0,1.3175967704079612,12469.574000000022,-7.59082881710013,-78764.06059999997,38.93638369700149,268716.04409999994
38,GLOBIOM,EL2,WLD,AREA,CRP,1000 ha,2020.0,946387.7174,2020.0,0.0,0.0,0.0,0.0,0.2984050128145984,2815.6662999999244
39,GLOBIOM,EL2,WLD,AREA,CRP,1000 ha,2050.0,763069.7307,2020.0,-19.370283799078393,-183317.9867,-26.459711991354627,-274551.6213,10.567182252229356,72928.48339999991
40,GLOBIOM,ELM,WLD,AREA,CRP,1000 ha,2020.0,943572.0511,2020.0,-0.2975172065562486,-2815.6662999999244,-0.2975172065562486,-2815.6662999999244,0.0,0.0
41,GLOBIOM,ELM,WLD,AREA,CRP,1000 ha,2050.0,690141.2473,2020.0,-27.07626751581084,-256246.47009999992,-33.48814131766247,-347480.1046999999,0.0,0.0
42,GLOBIOM,BAU,WLD,AREA,LSP,1000 ha,2020.0,1773716.004,2020.0,0.0,0.0,0.0,0.0,0.1415836326188097,2507.7409999999218
43,GLOBIOM,BAU,WLD,AREA,LSP,1000 ha,2050.0,1974952.186,2020.0,11.345456744269192,201236.18200000003,0.0,0.0,81.24824965589646,885312.871
44,GLOBIOM,BAU_DIET,WLD,AREA,LSP,1000 ha,2020.0,1773716.004,2020.0,0.0,0.0,0.0,0.0,0.1415836326188097,2507.7409999999218
45,GLOBIOM,BAU_DIET,WLD,AREA,LSP,1000 ha,2050.0,1515612.112,2020.0,-14.551590638971309,-258103.892,-23.25828834015124,-459340.074,39.093009139450885,425972.797
